Name,Category,Subcategory,URL,Description,Image,Tags,Favicon
Hologram,3D,VR,https://hologram.cool/,"Hologram is a pioneer Desktop app that let you create and prototype WebVR in interactive and fun way. It requires no previous coding knowledge, so anybody can start designing cool VR experiences. It only takes a few steps. Google Blocks Built-in.",http://tomsmith.webfactional.com/notes/Hologram_2289F632.png,,
Processing,Coding,Visualisation,https://processing.org/,"Loved by data scientists and artists, this editor lets you code fabulous things",http://tomsmith.webfactional.com/notes/Processing_org_2289F607.png,,
Sonic Pi,Audio,Coding,https://sonic-pi.net/,Code music. Wonderful,http://tomsmith.webfactional.com/notes/Sonic_Pi_-_The_Live_Coding_Music_Synth_for_Everyone_2289F67D.png,,
Touch Designer,Video,Coding,https://www.derivative.ca/,Visual coding to create amazing visual effects and project mapping projects.,http://tomsmith.webfactional.com/notes/Derivative_Blog_2289F6C9.png,,
Livecode,Coding,Authoring,https://livecode.com/products/community-edition/,"Fabulous tool to create mobile and desktop apps, like Powerpoint but with code.",http://tomsmith.webfactional.com/notes/Community___LiveCode_2289F73A.png,,
FireAlpaca,Image,Editing,https://firealpaca.com/,Wonderful image editor,http://tomsmith.webfactional.com/notes/Free_Painting_Software_FireAlpaca_2289F79B.png,,
Twine,Writing,Authoring,http://twinery.org/,Create textual interactive narrative adventure games easily.,http://tomsmith.webfactional.com/notes/Twine___An_open-source_tool_for_telling_interactive__nonlinear_stories_2289F7DC.png,,
Inkscape,Image,Vector,https://inkscape.org/,Fabulous vector image editor.,http://tomsmith.webfactional.com/notes/Draw_Freely___Inkscape_2289F82B.png,,
Krita,Image,Editing,https://krita.org/en/,Wonderful image editor,http://tomsmith.webfactional.com/notes/Highlights___Krita_2289F864.png,,
MediaBangPaintPro,Image,Editing,https://medibangpaint.com/en/pc/,Wonderful image editor,http://tomsmith.webfactional.com/notes/MediBang_Paint_Pro___MediBang_Paint_2289F89C.png,,
SoundPlant,Audio,Toy,https://soundplant.org/,"Amazing tool to ""play"" a collection of samples whilst manipulating them.",http://tomsmith.webfactional.com/notes/Soundplant__computer_keyboard_sample_triggering_for_Windows___Mac_2289F8C6.png,,
Audacity,Audio,Editing,https://www.audacityteam.org/,Audio editor with loads of effects.,http://tomsmith.webfactional.com/notes/Audacity_®___Free__open_source__cross-platform_audio_software_for_multi-track_recording_and_editing__2289F8FC.png,,
Open Refine,Data,Cleaning,http://openrefine.org/,A tool to clean up your messy or disorganised data files.,http://tomsmith.webfactional.com/notes/Google_Refine_2_0_-_Introduction__1_of_3___video_version_2__-_YouTube_2289F955.png,,
OpenShot Video Editor,Video,Editing,https://www.openshot.org/,Free video editor,http://tomsmith.webfactional.com/notes/OpenShot_Video_Editor___Free__Open__and_Award-Winning_Video_Editor_for_Linux__Mac__and_Windows__2289FA6E.png,,
Storyboarder,Story,Writing,https://wonderunit.com/storyboarder/,Brilliant storyboard tool. Plan your next movie.,http://tomsmith.webfactional.com/notes/Storyboarder_-_The_best_and_easiest_way_to_storyboard____Wonder_Unit_2289FAAC.png,,
Sunvox,Audio,Creation,http://www.warmplace.ru/soft/sunvox/,Make music with visual flow diagram programming. Amazing.,http://tomsmith.webfactional.com/notes/sunvox31_png__802×625__2289FAF8.png,,
Cyril,Coding,Visualisation,https://medium.com/cyril-live-coding/cyril-the-story-so-far-b77a7f90d37f,Create audio visualisations with simple coding. Perfect for a VJ because audio-responsive code is built in.,http://1.bp.blogspot.com/-ZmWF_e7hM3Q/Vpkzu93CjbI/AAAAAAAAG5A/4SEE_Jh6McA/s1600/12247708_1013110875398129_8921280411508464177_o.jpg,,
Pure Data,Audio,Image,https://puredata.info/,"Pure data is a visual programming tool to manipulate audio, images and videos. This is the free alternative to Max/MSP.",http://tomsmith.webfactional.com/notes/_chapter__Envelope-Generator___PURE_DATA_228AC148.png,,
Blurb,Writing,Print,https://www.blurb.com/,"Create a book, photobook, ebook etc",http://tomsmith.webfactional.com/notes/Make_a_book_quickly_and_easily___Blurb_228AC347.png,,
Ink,Games,Narrative,https://www.inklestudios.com/ink/,Create textual interactive narrative adventure games easily.,http://tomsmith.webfactional.com/notes/ink_-_inkle_s_narrative_scripting_language_228AF058.png,,
Isadora,Video,Coding,https://troikatronix.com/#setImmediate%240.45672401178494093%241,Visual coding to create amazing visual effects and project mapping projects.,http://tomsmith.webfactional.com/notes/isadora_screenshot_-_Google_Search_22A31105.png,,
UltraOutliner,Writing,Story,http://ultraoutliner.com/,Tool for creating interactive narratives,http://tomsmith.webfactional.com/notes/_Volumes_ultra_outliner_samples_deadwood_en_uo_-_ultra_outliner_22A9A65C.png,,
PraxisLive,Coding,Visual,https://www.praxislive.org/,Visual creative coding.,http://tomsmith.webfactional.com/notes/PraxisLIVE_22CF4ECE.png,,
Luna,Coding,Visual,https://www.luna-lang.org,Visual coding tool. Data-processing language.,http://tomsmith.webfactional.com/notes/Project_—__var_folders_zw_hqgtcpmx187bj7qq59jtzdrh0000gn_T_luna18751_tutorials_USElectionPlayground_and_Digital_Creativity_Tools_and_Inspiration_-_Google_Sheets_22CF5ACA.png,,
Runway,Coding,AI,https://runwayml.com,"Machine Learning as an ""easy to use"" online tool.",http://tomsmith.webfactional.com/notes/Runway_ML___Machine_learning_for_creators_22D4FA29.png,,
OpenRNDR,Coding,Java,https://openrndr.org/,"A bit like Processing, a java-based creative coding enviroment",http://tomsmith.webfactional.com/notes/openrndr_org_22DDDEEF.png,,
Eyejack,AR,Visual,https://eyejackapp.com/,An app with which to make AR (Mac),http://tomsmith.webfactional.com/notes/Eyejack_png_2351F3C2.png,,
Orca,Audio,Coding,https://github.com/hundredrabbits/Orca,"""Esoteric"" generative music coding tool. Can be a challenge to set up, it works with midi, but is so intriguing to use.",https://raw.githubusercontent.com/hundredrabbits/Orca/master/resources/preview.jpg,,
Olive,Video,Editing,https://www.olivevideoeditor.org/,Video Editor.,https://www.olivevideoeditor.org/img/screenshot.jpg,,
DragonBones,Animation,Image,http://dragonbones.com/en/index.html#.XiBtZRf7RZI,Open-source animated tool for Mac and Windows,http://tomsmith.webfactional.com/notes/DragonBones_Animation_Solution_23D0A54F.png,,
VDMX,Video,,https://vidvox.net/,"VJ mixing tool. Free to use, but $349 to save your work.",http://tomsmith.webfactional.com/notes/Preview_and_Left_Bin_and_Right_Bin_23E0769D.png,,
