Name,Category,Subcategory,URL,Description,Image
Startup Cemetry,Business,,https://www.failory.com/cemetery,All those great ideas that didn't work,http://tomsmith.webfactional.com/notes/Startup_Cemetery_-_Learn_Why__100_Startups_Have_Failed_228A0561.png
Webcam Poetry,Writing,Inspiration,https://beta.webcampoetry.com/,"A scene and a poem, changed hourly",http://tomsmith.webfactional.com/notes/Webcam_Poetry_24_7_-_A_CITY_STREET_FILLED_WITH_LOTS_OF_TRAFFIC_228A08B6.png
Design With Intent,Cards,Design,http://designwithintent.co.uk/introduction-to-the-design-with-intent-toolkit/,Cards to provoke design thinking,http://tomsmith.webfactional.com/notes/Introduction_to_the_Design_with_Intent_toolkit_–_Design_with_Intent_228A059B.png
Map of York,Maps,,https://cyc.maps.arcgis.com/apps/webappviewer/index.html?id=6e02c41a806e46879e7dc215f1275afb,"Maps with multitudes of additional data, from wifi to disabled bays.",http://tomsmith.webfactional.com/notes/YorkView_228A05B8.png
Projection Mapping,Projection Mapping,,http://www.bordos.eu/,Collection of project videos,http://tomsmith.webfactional.com/notes/KONSTELLAATIO_at_LUX_HELSINKI_2018_on_Vimeo_228A05F3.png
Exhibition of Processing projects,Coding,,https://processing.org/exhibition/curated_page_14.html,Over 14 pages of cool projects made with Processing,http://tomsmith.webfactional.com/notes/Exhibition_Archives___Processing_org_228A0610.png
Terrapattern,Maps,AI,http://www.terrapattern.com/,Find places similar in shape to other places nearby,http://tomsmith.webfactional.com/notes/Terrapattern_228A0640.png
Plausible Spaces,Art,Generative,http://superficie.ink/,Example of automatically made art,http://tomsmith.webfactional.com/notes/Superficie_228A0659.png
50 Years Of Swiss Music Charts,Music,Visualisation,https://50-jahre-hitparade.ch/,Zoom through the Swiss charts,http://tomsmith.webfactional.com/notes/Screenshot_13_05_2019__21_09_228A068B.png
Bird Migrations,Maps,Nature,https://www.nationalgeographic.com/magazine/2018/03/bird-migration-interactive-maps/,Visualisations in story form,http://tomsmith.webfactional.com/notes/Interactive_Map__See_How_Birds_Migrate_Throughout_the_Western_Hemisphere_228A06BE.png
A Year At The British Academy,Art,Archives,https://chronicle250.com/1966,Pick a year and learn about what was current then.,http://tomsmith.webfactional.com/notes/1966_The_Academy_Swings_228A06D9.png
Humanity is...,Art,Writing,https://aiweiweihumanity.com/,Ai Weiwei project and book. ,http://tomsmith.webfactional.com/notes/Humanity_-_Ai_Weiwei_228A070D.png
Where Does Music Revenue Come From?,Business,Music,http://loas.myceliaformusic.org/,A visualistion that shows how it's not all about sales.,http://tomsmith.webfactional.com/notes/loas_myceliaformusic_org_228A0728.png
Oat The Goat,Writing,Animation,http://oatthegoat.co.nz/intl.html,A charming tale of a goat.,http://tomsmith.webfactional.com/notes/Oat_the_Goat_🔊_228A075D.png
Trouble In Paradise - Nuclear Dissent ,Writing,Story,https://nucleardissent.com/documentary/trouble-in-paradise,,http://tomsmith.webfactional.com/notes/Nuclear_Dissent_🔊_228A07B8.png
NASA Solar System,Maps,Space,https://solarsystem.nasa.gov/,Learn about the planets and moons.,http://tomsmith.webfactional.com/notes/NASA_Solar_System_Exploration_228A07E0.png
If You Don't Have A Pet,Fun,,http://www.sanger.dk/,"Just silly, but still.",http://tomsmith.webfactional.com/notes/sanger_dk_228A0841.png
Font Mao,Fonts ,Design,http://fontmap.ideo.com/,Explore a landscape of fonts,http://tomsmith.webfactional.com/notes/Font_Map_·_An_AI_Experiment_by_IDEO_228A080F.png
Dan Hett,Design,,https://danhett.com/projects/6072384,Lots of interesting commercial new media projects,http://tomsmith.webfactional.com/notes/HOME_typography_-_Dan_Hett_228A0829.png
Experiments With Google,Coding,,https://experiments.withgoogle.com/,Cool things from Google,http://tomsmith.webfactional.com/notes/Experiments_with_Google_228A09E7.png
Long Form,Writing,Long Form,https://storyform.co/demo/rainier,Example of long form storytelling with media.,http://tomsmith.webfactional.com/notes/An_Ascent_of_Mount_Rainier_228AB430.png
GeoGuessr,Maps,Game,https://www.geoguessr.com,Guess the place with Google Maps,http://tomsmith.webfactional.com/notes/World_228AB76E.png
A Way To Go,Game,,http://a-way-to-go.com/,Unusual out of body experience game,http://tomsmith.webfactional.com/notes/WAY_TO_GO_228AC9A0.png
Fear-Less,Wellbeing,,http://fearlessstories.com/,,http://tomsmith.webfactional.com/notes/fearlessstories_com_magazine_how-to-tackle-overwhelm_index_html_228ACB6C.png
