Name,Category,Subcategory,URL,Description,Image,Tags,Favicon
Code.org,Coding,Tutorial,https://studio.code.org/courses,,http://tomsmith.webfactional.com/notes/Code_org_-_Learn_Computer_Science_229D2162.png,,
Learn Javascript,Coding,Javascript,https://learnjavascript.online/,,http://tomsmith.webfactional.com/notes/Learn_JavaScript_Online_229D217E.png,,
VidCode,Coding,Javascript,https://www.vidcode.com/,Looks fab and fun,http://tomsmith.webfactional.com/notes/Vidcode__Creative_coding_in_every_school_229D2197.png,,
Learn p5js,Coding,Processing,http://www.generative-gestaltung.de/2/,Learn generative design and p5js online,http://tomsmith.webfactional.com/notes/Generative_Design_229D21BC.png,,
Hello Processing,Coding,Processing,https://hello.processing.org,,http://tomsmith.webfactional.com/notes/Processing_Hour_of_Code___Home_228A0B8E.png,,
Background Removal in Pixlr Tutorial,Pixlr,Image,https://www.youtube.com/watch?v=CUnaAzl_Te4,,http://tomsmith.webfactional.com/notes/Removing_Image_Background_-_Pixlr_Magic_Wand_-_YouTube_228C2C8A.png,,
Working With Layers in Pixlr Tutorial,Pixlr,Image,https://www.youtube.com/watch?v=2rYU9AgQiiE,,http://tomsmith.webfactional.com/notes/Pixlr_Tutorial_4__Layers_-_YouTube_228C2CEC.png,,
Pixlr Filter Tools Tutorial,Pixlr,Image,http://bit.ly/montagelesson3,,http://tomsmith.webfactional.com/notes/PIXLR_Editing_1-_Adjustments___Filters_-_YouTube_228C2D67.png,,
Understanding Glitch Art,Image,Glitch,http://www.theperipherymag.com/on-the-arts-glitch-it-good,,http://tomsmith.webfactional.com/notes/The_Periphery___Glitch_It_Good__Understanding_The_Glitch_Art_Movement_—_The_Periphery_228C30BE.png,,
Wesley Explains Glitch Art,Image,Glitch,https://www.youtube.com/watch?v=jtIe416Twpo&t=1s,Youtube TedX talk from Wesley Thorp,http://tomsmith.webfactional.com/notes/Glitch_Art___Wesley_Thorp___TEDxNewCollegeofFlorida_-_YouTube_228C3161.png,,
Learn About Art,Image,Art,https://www.nationalgallery.org.uk/paintings/learn-about-art,"From the National Gallery, London",http://tomsmith.webfactional.com/notes/Learn_about_art___Paintings___National_Gallery__London_2293E7D3.png,,
Code Academy,Coding,Javascript,https://www.codecademy.com/,,http://tomsmith.webfactional.com/notes/Learn_to_Code_-_for_Free___Codecademy_229D2243.png,,
How To Make A Zine,Writing,Zine,https://thecreativeindependent.com/guides/how-to-make-a-zine/,Article giving you some ideas about how to make a paper zine,http://tomsmith.webfactional.com/notes/Background_and_How_to_make_a_zine_–_The_Creative_Independent_229D55E0.png,,
Zine-Making as a Pedagogical Tool for Transformative Learning in Social Work Education,Writing,Zine,https://www.tandfonline.com/doi/abs/10.1080/02615479.2013.805194?journalCode=cswe20,Paper,http://tomsmith.webfactional.com/notes/Zine-Making_as_a_Pedagogical_Tool_for_Transformative_Learning_in_Social_Work_Education__Social_Work_Education__Vol_33__No_3_229D5697.png,,
Learning Twine 2.9,Writing,Coding,https://www.youtube.com/watch?v=iKFZhIHD7Xk,Create your own textual adventure game,http://tomsmith.webfactional.com/notes/Twine_2_0_-_Introduction___Tutorial__1_-_YouTube_229DB47C.png,,
Learn Python For Data Science From Scratch,Coding,Python,https://data36.com/learn-python-for-data-science-from-scratch/,,http://tomsmith.webfactional.com/notes/Learn_Python_for_Data_Science_-_from_scratch__14_articles__229DCD07.png,,
Data Science With Python,Coding,Python,https://www.dataquest.io/blog/how-to-learn-python-for-data-science-in-5-steps/,,http://tomsmith.webfactional.com/notes/How_to_Learn_Python_for_Data_Science_In_5_Steps_–_Dataquest_229DCD42.png,,
Visual Guide To Machine Learning,AI,Coding,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/,,http://tomsmith.webfactional.com/notes/A_visual_introduction_to_machine_learning_22A66074.png,,
A Guide To Sonification,Coding,Audio,https://programminghistorian.org/en/lessons/sonification,,http://tomsmith.webfactional.com/notes/The_Sound_of_Data__a_gentle_introduction_to_sonification_for_historians____Programming_Historian_22A660C5.png,,
Shiffman's p5js Code Train,Coding,p5js,https://www.youtube.com/user/shiffman/search?query=p5js,All you need to know about p5js from a genius.,http://tomsmith.webfactional.com/notes/The_Coding_Train_-_YouTube_22A9231E.png,,
Arcweave,Writing,Story,https://arcweave.com/,For creating interactive narratives,http://tomsmith.webfactional.com/notes/Arcweave___Online_game___narrative_design_team_collaboration_tool_22A9A2E9.png,,
Sonic Pi Tutorial,Audio,Coding,https://sonic-pi.net/tutorial.html,,http://tomsmith.webfactional.com/notes/Sonic_Pi_-_Tutorial_22B95E1C.png,,
Commoners,Coding,Visualisation,https://commoners.co.kr/Feed-1,"Loads of great, running, code examples to learn from",http://tomsmith.webfactional.com/notes/Feed_-_commoners_22CCCA6B.png,,
DS106 Assessment Bank,Learning,Story,http://assignments.ds106.us/,Lots of media and design lessons.,http://tomsmith.webfactional.com/notes/ds106_Assignments_community_made_creative_assignments_for_ds106_2313E1A4.png,,
