Name,Category,Subcategory,URL,Description,Image
PixelMob,Image,Resources,https://pixelmob.co,Site that searches other resources,http://tomsmith.webfactional.com/notes/Pixel_Mob_-_Royalty-Free_Stock_Photos_228A0950.png
Creative Commons,Image,Resources,https://search.creativecommons.org/,,http://tomsmith.webfactional.com/notes/CC_Search_228A0971.png
Mixamo,3D,Resources,https://www.mixamo.com,Download 3D characters and animations,http://tomsmith.webfactional.com/notes/Mixamo_228A098D.png
Freesound,Audio,Resources,https://freesound.org/,,http://tomsmith.webfactional.com/notes/Freesound_-_Sounds_browse_228A0A06.png
Unsplash,Image,Resources,https://unsplash.com/ ,,http://tomsmith.webfactional.com/notes/Wallpapers___Unsplash_2289ABF1.png
Pixabay,Image,Resources,https://pixabay.com/,,http://tomsmith.webfactional.com/notes/1_million__Stunning_Free_Images_to_Use_Anywhere_-_Pixabay_228A0A26.png
FreeImages,Image,Resources,https://www.freeimages.com,,http://tomsmith.webfactional.com/notes/Explore_over_300_000_free_stock_photos_and_royalty_free_images_-_FreeImages_com_228A0A4F.png
Free Fonts,Font,Resources,https://www.dafont.com/,,http://tomsmith.webfactional.com/notes/DaFont_-_Download_fonts_228AB2B7.png
Product Hunt,Apps,Resources,https://www.producthunt.com,"Discover new apps and sites, discover apps you can use or use this as an inspiration list for the creation of your own app.",http://tomsmith.webfactional.com/notes/Search___Product_Hunt_228AB3DC.png
List of Tools To Build Bots,Bot,,https://www.infoworld.com/article/3244546/development-tools/9-chatbot-building-tools.html,List of bot building tools,http://tomsmith.webfactional.com/notes/9_chatbot-building_tools___InfoWorld_228AB573.png
Zero Dollar Movies,Movie,,http://zerodollarmovies.com,Free full length movies,http://tomsmith.webfactional.com/notes/Zero_Dollar_Movies_-_Page_4_of_25_-_Watch_Full_Movies_Online_for_Free_228AE3F3.png
Open Image Collections,Image,Resources,https://blogs.ntu.edu.sg/openimagecollections/,,http://tomsmith.webfactional.com/notes/Open_Image_Collections_228C2C18.png
SketchFab,3D,Resources,https://sketchfab.com/,,http://tomsmith.webfactional.com/notes/Sketchfab_-_Your_3D_content_on_web__mobile__AR__and_VR__2292DDF0.png
New York Library Digital Collections,Image,Resources,https://digitalcollections.nypl.org/,,http://tomsmith.webfactional.com/notes/NYPL_Digital_Collections_2293E602.png
DBPedia,Data,Coding,https://wiki.dbpedia.org/,Structured data from the web,http://tomsmith.webfactional.com/notes/DBpedia_229813E3.png
EU Open Data Portal,Data,Coding,http://data.europa.eu/euodp/en/data/,,http://tomsmith.webfactional.com/notes/Welcome___European_Union_Open_Data_Portal_22981434.png
Data.gov.uk,Data,Coding,https://data.gov.uk/,"Find data published by central government, local authorities and public bodies to help you build products and services",http://tomsmith.webfactional.com/notes/Find_open_data_-_data_gov_uk_22981494.png
Kaggle,Data,Coding,https://www.kaggle.com/datasets,Data to download,http://tomsmith.webfactional.com/notes/Datasets___Kaggle_229815B2.png
Glogopedia,Learning,Multimedia,https://edu.glogster.com/glogpedia,"Lovely collection of multimedia info pages, projects and experiments etc for kids",http://tomsmith.webfactional.com/notes/Glogster__Multimedia_Posters___Online_Educational_Content_229D2F6B.png
Identify Nature,Nature,Ecology,https://www.nhm.ac.uk/take-part/identify-nature.html,"Find out what species of plant, insect, bird is etc",http://tomsmith.webfactional.com/notes/Identify_nature___Natural_History_Museum_229D4B9C.png
Record Nature,Ecology,Nature,https://naturescalendar.woodlandtrust.org.uk/,Record the species you have seen,http://tomsmith.webfactional.com/notes/Add_a_record_on_Nature_s_Calendar_229D4ED0.png
