Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
Pixlr,Image,Editing,https://pixlr.com/,Fantastic image editor,http://tomsmith.webfactional.com/notes/Online_Photo_Editor___Pixlr_Editor_22899C0C.png,1,
Pixlr X,Image,Editing,https://pixlr.com/X/  ,The latest version of this fantastic image editor. Has fantastic tools for isolating a part of an image.,http://tomsmith.webfactional.com/notes/Photo_Editor___Pixlr_com_-_free_image_editing_online_22899C6D.png,1,
Pixlr Express,Image,Editing,https://pixlr.com/express/,"A more ""Instagram-like"" version of this fanstastic image editor with some funky effects",http://tomsmith.webfactional.com/notes/Online_Photo_Editor_-_Free_-_Pixlr_Express_2289A158.png,1,
Photomosh,Image,Glitch,https://photomosh.com,Make gifs and images with a heap of bizarre effects,http://tomsmith.webfactional.com/notes/PHOTOMOSH_and_Desktop_—_tomsmith_web503___webapps_static_notes_—_ssh_tomsmith_tomsmith_webfactional_com_—_117×48_2289A191.png,1,
Jpeg Glitch,Image,Glitch,https://snorpey.github.io/jpg-glitch/ ,Glitch your images into oblivion,http://tomsmith.webfactional.com/notes/Image_Glitch_Tool_2289A1D9.png,2,
Mara,Image,Tools,https://mara.photos/ ,Lots of standalone image tools. I like the kaleidoscope one.,http://tomsmith.webfactional.com/notes/Mara_2289A206.png,2,
Deep Dream,Image,Effects,https://deepdreamgenerator.com,Make your images psychedelic,http://tomsmith.webfactional.com/notes/Deep_Dream_Generator_2289A235.png,1,
Trianglify,Image,Effects,https://trianglify.io/ ,Make lovely abstract background images,http://tomsmith.webfactional.com/notes/Trianglify_io_·_Low_Poly_Pattern_Generator_2289A26D.png,1,
Audio Clash,Audio,Toy,https://clash.me/,Turn text into samples,http://tomsmith.webfactional.com/notes/Clash___audio_experiment___message_2289A29F.png,1,
Superlooper,Audio,Toy,https://superlooper.universlabs.co.uk/,Make weird music with this weird digital instrument,http://tomsmith.webfactional.com/notes/SUPER-LOOPER_-_Univers_Labs_🔊_2289A2E5.png,2,
TwistedWave,Audio,Editing,https://twistedwave.com/online,"Edit audio files, trim, copy, paste, reverse and add effects such as reverb.",http://tomsmith.webfactional.com/notes/TwistedWave_Online_Audio_Editor_2289A31A.png,,
